,unique_id,current_price,predicted_price,pricing,Mouth,Background,Fur,Clothes,Eyes,Hat,Earring,image_url,contract_address,collection_name,timestamp
836,BoredApeYachtClub6013,1420.6899999999998,766.6080000000001,overpriced,Bored,Blue,Brown,Service,Bloodshot,,,https://lh3.googleusercontent.com/Wt3puEvl3eOp3qoK4xRje-u8RJjzRB7SczsDH36biAnndur_bNnuvLngt4gxYUHppcV-UlW0HHHFbkS8dVA3korDwpo5WAK7XQPtnA,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:30:38.083038
837,BoredApeYachtClub6015,73.12,90.36549999999995,underpriced,Phoneme Vuh,New Punk Blue,Noise,Bayc T Black,Bloodshot,S&m Hat,,https://lh3.googleusercontent.com/p4EAqsi7C8ZoiEflyi1Yfhu6bERtw7GpdEEDb5hmetimCug6NrPAy9aXo8w73alD7rEWjCozR8tp06L7pEIlGWERu5HB9VzLhtvI,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:30:41.374904
838,BoredApeYachtClub6022,115.01,115.01000000000003,underpriced,Bored Unshaven,Orange,Brown,,Laser Eyes,,,https://lh3.googleusercontent.com/mJim4DHrPLr3d-HXmzYkebyib79Pap14mh0LvDHTocTjd3ew3N8IE4U2tcJQnb_buRpcAPH6ozidWKucjpQn3wLO7WeSGAYBrlGbFQ,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:30:52.165554
839,BoredApeYachtClub6023,90.01,80.78099999999999,overpriced,Bored Unshaven Bubblegum,Yellow,Red,Space Suit,Wide Eyed,Vietnam Era Helmet,Silver Stud,https://lh3.googleusercontent.com/V8JSKSLZBfJ6EE-ungINMl2jsgU1sbyjBQirafUcPZPcRZro40KtV8GNTpz0Va88Yfz-4NexFTS9abDAWjlMVxLNFroGr560l1Lk,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:30:53.972595
840,BoredApeYachtClub6024,95.01,96.66499999999999,underpriced,Grin Diamond Grill,Yellow,Pink,Black T,Sunglasses,Bowler,,https://lh3.googleusercontent.com/uumv5TUQNkSwnbiywTUuqHb8XSH_pOrTUSm7302a0wAnoimUchnOnHsWOxg7OzEEtN5HNcmy_Oxu6rcBsWxjgFQYDs5q4ISM9wtT4A,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:30:55.690517
841,BoredApeYachtClub6026,95.5,91.56699999999998,overpriced,Rage,Army Green,Black,Guayabera,Hypnotized,Fez,,https://lh3.googleusercontent.com/26Y51C32WedQlaBmuASPFcyS0mlqYWWZ4rRZGwUxnF6WYVE4XmVB-AnXDEjlafeUtjtfIoWRpcqYhP9W_wz3r46D4dilRxo37obY9w,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:30:59.052903
842,BoredApeYachtClub6027,73.12,76.94699999999997,underpriced,Bored Unshaven,Orange,Cream,Bayc T Red,Zombie,Seaman's Hat,Silver Hoop,https://lh3.googleusercontent.com/XzWE9NtmkKAccwYpQ0ZVfdEYQVVcTS6WI627astMJKlPccnurgfUa8KfvMJQEp8Km4vb7iKE91r1ecsf77rAWTdcUG0gd5MGE47A,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:31:00.693151
843,BoredApeYachtClub6029,73.12,81.05849999999998,underpriced,Bored Party Horn,New Punk Blue,Dark Brown,Blue Dress,Sleepy,Fisherman's Hat,,https://lh3.googleusercontent.com/wUpU55t7xqIPg7-gUH-IQ5o3jW6vJkyeh5I79aRrqk2mTLEvWXBHlIX6GJmRxGOtZc_s7n29n5CcxH-9YicJIOFY0CG-zyo69emJig,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:31:04.176509
844,BoredApeYachtClub6032,73.12,125.56499999999997,underpriced,Bored Unshaven,New Punk Blue,Dmt,Leather Jacket,Sad,Seaman's Hat,Silver Stud,https://lh3.googleusercontent.com/OFECujxzSuGd69MDcPRAam4ijwlOral00kDVljOi3ehHL4iG_QSyevKDj4V8HBMjiH8MCqlwTYfrqJ3vn6fEn1vkFBEz6aVuDDNYy9I,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:31:08.647973
845,BoredApeYachtClub6040,99.8,101.57699999999997,underpriced,Bored,Yellow,Cheetah,,Wide Eyed,Commie Hat,,https://lh3.googleusercontent.com/5FbTwm4EpT1eG2Mu3h4qmTlZMuiELYslN9rFjxbY9Q8rpdVASi7C9SQX33n4GeoEjsMTs6pajuMxM80TqCLP_e6g6QZOXw1VzBVK,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:31:21.794608
846,BoredApeYachtClub6044,63.0,103.027,underpriced,Phoneme Oh,New Punk Blue,Dark Brown,Tuxedo Tee,Crazy,,,https://lh3.googleusercontent.com/jD2kv5WP4Lt-KCjcgkzDvDEtwrizWIzTqBCnGNot3RU-OGCtS9fb0-PKRLS4pe8mZy0dr687iCi7oKkTzDmPht2iabjkwIz_lcNi,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:31:28.109568
847,BoredApeYachtClub6047,95.01,156.91600000000008,underpriced,Grin Diamond Grill,Blue,Gray,Service,Bloodshot,,Silver Hoop,https://lh3.googleusercontent.com/As5XRiCGq2S3v-nHbNFKuVujExxeIDfX2SCP-emdx17sVQpjtvz0aKiiayn7hybtqc9JZyrxhBjZ_ZmHQwYyMbuZBAd1ELQIVlFbnw,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:31:32.810457
848,BoredApeYachtClub6048,95.01,89.12250000000002,overpriced,Grin Gold Grill,Yellow,Golden Brown,,X Eyes,Safari,,https://lh3.googleusercontent.com/-aX1PeLwBRywi2bEXuhxkE7_aqpeCED8g9N1i0IJYOp8U9TX1Va3oeqjtRa_TQ-n0KyygXo36hNQuO00U7EMCywakPC2W9PL1ouC,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:31:34.727691
